Location,Latitude,Longitude,
Curbside > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,37.65051,-83.71917,
Coopers Cove > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,37.64138,-83.68193,
Cloud 9 > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,37.64255,-83.68534,
Chocolate Factory > Bald Rock Fork Recreational Preserve (BRRP) > Red River Gorge > Kentucky,37.64919,-83.71343,
Chica Bonita Wall > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,37.65078,-83.72161,
Bruise Brothers Wall > Muir Valley > Red River Gorge > Kentucky,37.72482,-83.62612,
Bronaugh Wall > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,37.6538,-83.70943,
Brightside > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,37.67874,-83.7354,
Bob Marley > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,37.65194,-83.72328,
Bibliothek > Muir Valley > Red River Gorge > Kentucky,37.73034,-83.64058,
Beer Trailer Crag > Natural Bridge Region > Red River Gorge > Kentucky,37.71511,-83.66665,
Animal Crackers Wall > Muir Valley > Red River Gorge > Kentucky,37.73064,-83.63911,
(5) Undertow Wall > The Motherlode > Bald Rock Fork Recreational Preserve (BRRP) > Red River Gorge > Kentucky,37.64632,-83.71098,
(4) Madness Cave > The Motherlode > Bald Rock Fork Recreational Preserve (BRRP) > Red River Gorge > Kentucky,37.64651,-83.71056,
(3) GMC Wall > The Motherlode > Bald Rock Fork Recreational Preserve (BRRP) > Red River Gorge > Kentucky,37.64657,-83.71035,
(2) Warm-Up Wall > The Motherlode > Bald Rock Fork Recreational Preserve (BRRP) > Red River Gorge > Kentucky,37.64653,-83.71046,
(1) Buckeye Buttress > The Motherlode > Bald Rock Fork Recreational Preserve (BRRP) > Red River Gorge > Kentucky,37.64595,-83.71153,
